Unnamed: 0,v_0,activos,pasivo,patrimonio,estado_civil
3012,d4b0950c35876d6cbfadda4f8507142e59142afd0dd17318469803c6f525bbcc,857467817.8169141,-198492568.06071135,-88512267.21908581,1
1837,8e5bbad89cf65f8b2dafea82428cd5991e2d734d6faaededa61932568a984990,15311199.140883261,272867079.51719856,60598437.06411081,4
4269,4a6d48561565e1a39c3f59970a4c559ccb2e55f7f3a3c4f4b9eba3c071e52d56,305877491.30242324,580320974.7114586,-39691704.02085071,2
2859,cebd1818d73b7057c21a8d495bc454a4c95dd63216b4efad0cacaeaef7e8c372,-238372763.47690967,-42665095.48248244,-129961322.7184293,3
5010,b0d7ef4144d6052689bd4fefb413cf88782af128dcb7c5f91a5249fe9080968b,-229388757.53367385,49356198.103111275,420254578.40583897,3
2710,54d580e67392feb7349a27327ae6ecaaf0e55ccdef14d0dcb10ee4f154886443,634080521.507745,-230375861.47253254,105556379.24592273,1
796,6a4e27cc57abdadf8ee3974a9f8e5f4e44d47f3ee93f93c3933365cdca51818d,624874049.0766878,158059732.15833062,859466027.1920899,1
4524,53b4d766634ca013540d696d222711afd3640111b135379a60a01774f521cc17,-266451937.33308947,202999453.31252164,-377238387.15273905,3
1555,c36bfb75106c3c6cc6ba4f8dd61558ed3390c821a4245d004726565bd000fa1a,-639103129.1767423,-258299742.10782892,-27953010.33255293,1
2296,7a31de711b81209036695b924907ac6fa4a7580c3c18ff1a233371dcff6049d3,-407066557.58703005,585228421.5214813,862111855.4512883,3
5521,e0420497ea25d400cd6337359d7b33e197a9a6d56accfc1a51f76400124329c2,451153589.46528417,685120778.9897289,85598735.15750965,1
5575,68b057f2b8dfb648c9037f29d7ce26782ee82ce69206bf24b4291db4cc005c40,201568836.35808802,363901279.6042249,1298270879.9684322,1
2314,1cacdb76ee5e9e20a1a202d7bd4f0094a34b1720afb2260bcf34779ab81f22af,-77287029.681041,481839313.497448,126282473.38602605,2
2405,d640ac8ea0f5c3f1bf33324d708bbb0178b2b65ee2618ca7007fd55215cfd12a,-122072858.66748507,40963913.6838354,-140363675.7542344,3
5505,9686bc98bdaa334c6bfab093dbdc8d238126371c47cebc384bdcf25adfcda384,427237154.9464079,747909426.5229646,196767308.15323368,0
4244,fd30e7af9a60934bfd60e74dc56c233dc15a9e7a62595147c0bb66e49dd78d5f,107617806.31165752,721653972.5520049,915497468.0125666,2
5190,ca6a09bcb4b2d3b1b978c36222904678a3aa6cb91964f50f92128a892479b755,198239237.05065858,219004208.89632073,491571959.00960654,1
4338,c30ab6e7f0e8612dc9ded50bcc4b408d9cbba9dfd4b848b21d47d4fdc467424e,2368957561.6324425,353673547.6037699,1330706780.883148,1
4347,afb3e93cd73fa76bf602f477491107afa3e2a0c7b1f898b18b2afe33c028bfa3,-217570689.00137728,-25819225.62641262,1877043935.089441,2
646,ab51beafe43763d90f19121aa3db646d79cbdb8c1041cc29d432c7cef5ee3867,-421620608.5290164,-312065383.5575704,357465112.4179737,2
3259,984c40019416e33d9ef304c7f94aa1792e7ee8bd4c94d592ae1fec5184df0286,437487328.7290571,-39913893.305479184,1156816289.113865,1
1281,a2e4f83e77571a3a7d668092fdbdb6d607e9a8569cfb32201c8dfee6e4d89e08,25420015.12703191,-163986603.8254389,4517950.636032465,4
913,8e58eaa352aeed512a393d37b8e54053cae3fe2d03bb545083e6ef8c802895d3,1409952918.7017467,631646310.2745,-34177312.9470394,1
916,bba31edf7cd29fc781d711ad611e09cb61daea10ceb4203950aa0c0e7be64eea,429953157.09450173,-73853042.6783083,-479396503.8256582,2
4888,409391b09999413e27bb30d6e2bb3d9464cf789d9a00e0cefc581e75f1160b2d,-550716467.5232501,114138300.44939771,372142560.4099572,1
1815,b85ecbd9142f3c482af166be66ccdeb263c988e49c6cf29aeb4546bba1b59e9c,-28752880.83211982,137343099.48458442,-545373077.073427,3
411,64688d53c766fc05ca044889aad1e65d8a5fc93bd2b71a396b39cc8f596d8bb1,377200548.54493487,690823299.5074933,30795869.685533095,2
5205,9dc35a8407310d2cce39154e809d5d9adca23f607e73dd65d7f7d9405e9d4d19,-244040033.8198181,374158272.67572045,-130404582.9360258,1
2712,21a0d387bc748adc0eb24c308052d8442b06f2babee9155726c1ac8fdced4c83,534449076.52924603,520572412.91416353,-323592514.2912678,4
4875,3535d9be72c3e4dffe03dd163a01ace2926de273132497146364a31dae1826c7,97062245.35030222,-29475195.972250514,1559812669.4160278,1
4608,ce804be358a5181680bc16c6b0fabf2952547625240a3319799a52cb0702023c,-392715835.9867114,435730858.8655563,190664897.8942258,5
5518,5db7a5d3042a3fca82d6283e786de752afa48f2081fdc76502931c1ba236207f,308538301.8311519,-114498378.66701198,354477933.61788005,0
872,734aa063cc540cd55aacdbc835d7520d048483e87eea9a1dff93440f684a68c1,-266927554.29457638,700173698.9900146,-203356192.8802154,4
1851,1a45939a3ee49961174553f83e11dc2963ac6fe4b9a546edd5466c0dac20daf8,1031648439.7557911,-34637210.71142494,-181545860.52052504,5
4030,a996aed255922803262227573f818bbfc586ffb895a28b4fc053f81d6f9a68b5,-109067273.56528644,337264171.47003984,149348449.8877126,2
2287,cc3bd33edd5b72e5871e5c3b6a3d2ebcfe46611c1150e34d874555c8d6ce981c,-109559563.19409905,111896845.06814785,1300868639.7632434,3
2453,a31970e31e3b4e104b1ab9452f928bfd2279a19da4d25c8ea4bbe547a02b2fd3,774624763.8634232,149475679.3098396,-66653611.06447513,1
3722,439ba3b104abb1cdc3bb7e2a5883645355e62dec4584cdc5f87e85348582c1ef,-526312338.05945325,1486680067.0649283,363159551.96323264,2
1505,558f68d68a8e55a34a97c2f137ea6d3634fcf7020ed732e532fa0be9867ef037,298352226.29708755,378595755.59018826,76718472.26799522,0
3660,078701f4e3aaf0e575cd70c958127ee8ac7e48972964d54709102479fdd1d964,-484537269.27498204,584674669.6978004,-96351091.13177204,4
3295,933ee041fd8df1c5ae6c3abbc61cc8554fcca88ae523ca6d29667e6029324f44,1542633371.857144,202095079.6333038,8239463.134658252,4
2358,4638d047e9ddb0e289893fe05a0281df1b6241c2e19ab64d3a7940d68a007da4,881159754.6744932,721103745.7187673,-230141737.7457043,1
2440,f5606cc0c16d722d9545c525f0d39f0c3c5481186a557b6f04bfde6c935ea4f5,1675507038.5698028,66033248.24184736,510880987.47979814,1
4964,e5bb30d3ca2ee9547f8b618691b99470a6c62608d8258b12173999ad53516a40,-64259843.151064135,-67319391.55810747,125194091.68430986,2
603,8973774aea81b03dbec66899d17fbad69e0813c2698b9b981856eadc9e394657,56766856.8028344,-126388977.4920286,-9461918.349885758,3
1975,e54c5e99289ea0d628468990131f2378117e77d76789661ac944783eea174aef,150660247.15438876,171924604.46580476,-317646870.36897224,2
4887,10ede0261a938f10313c03fd77e5056293f2263701fd39140ca79f4b146d4316,1725924186.5908103,-44535553.2101969,-150018830.39458242,2
426,73d816eb28ffb1a4ba14d5052002bcb3b818ca6e9028fd0bc6cd5e16785b1825,107254967.03241825,-167938826.96937823,303660242.8609045,0
2321,6fef950c9353dab2b2cf3b02d6c639a20cd2a1a2781fdfeecff6cbec24a1e8f5,507559730.2216167,499117350.5236139,-334823796.9905945,1
5492,3793e6f037f30efa0ca967d5ed62eb2c4c9c11c2d6a23f68ad9ca6824579c51c,198424581.92087406,192582755.60110697,-380219141.6950508,2
1378,71890028b7c9cfbd6b5e42222ce1d17060ca5afa19c2b3bc709a13b7d58e1c3f,1180297574.8297317,736335708.7516946,248016314.68552244,1
4863,4465e579d9e5193c046b152685520e006cedc4858ac7cd04db8e8219036e4a4f,37783979.78914123,-255125871.81786487,-277304142.21486366,3
497,941984b63c1c3f01f72b20cbec36e1c0f62530580b350f28781ef9896db7dadc,100352638.40525332,1704006105.5079668,316459107.46003854,2
1607,ccc080b8ae6308ba49ca70c28da157e508f5f677681c5b688b6e68251d327bf8,2764415197.9612074,-305884274.44151574,-282403352.8007266,2
863,746718cac36c442a22d6b3bcebe50f35bd5d2b1116ec9b9bf64f6dd624993b00,22338832.328960042,-16051940.513023289,-483099799.1742838,1
4334,de83c2f20fe7e4d51081cd19becf6a3500bb5ff224e2e27b8958671e071f93cf,-491742176.4324498,328570863.8136928,247938100.19543436,0
395,91ff821e1622045b167d5e991219c3aa534d6f1be57aea5094b55426941d273c,-247068668.05741414,251791693.6844237,194267260.94455943,1
2466,63ff73d5583eb50f96421e8667287ff1f7a8b7aecdc87ed4e73fe8308bb28bbf,-872632538.024338,485830989.1245789,304723235.4032424,4
3666,bc718794cb74d0220b5024d7c3873dadccc96ee4cda363a63120c1c33b638e4d,-641878940.9377465,-34308522.56812191,500872945.979199,2
2431,1af2a6c12a45357aed753350e7577334e7f61fd8e407ed6e8105dcd9ee6a43fd,-249506457.6789714,899009169.3852504,321165501.30242366,2
1836,ebc2639eacb04ab1e7d86d84fa77c7d0b3fa96969f63e696a668f09dc9b9cd50,604355133.5236602,203537851.74842578,53448523.60435314,2
369,508c7014ec5563f840fd71798bb0ba14a1454eef7e87ba804f0caf937d10c5d8,11084253.091779202,-180673112.1987277,-36536730.19248633,3
1013,c35513ba0b1b3108cc71abb5145f3f351603a06e8a09a3dd1745fe1b03e46c2b,238512451.84607723,628074422.1070472,974603078.0011774,2
